id,crop,description,recommendation,soil_moisture,temp,humidity,rainfall,category
1,Rice,"Rice is a staple cereal crop that thrives in flooded paddy fields with consistently high soil moisture. Ideal growing temperature is 25-35°C with high humidity.","Maintain standing water in paddies during vegetative growth. Irrigate when soil moisture drops below 40%. Drain fields 2 weeks before harvest.",45,30,75,12,cereal
2,Tomato,"Tomato plants are sensitive to moisture fluctuations especially during flowering and fruit set. They prefer well-drained soil with moderate moisture.","Irrigate when soil moisture falls below 28%. Use drip irrigation to avoid leaf wetting. Reduce watering during fruit ripening to improve flavor.",28,28,55,3,vegetable
3,Chili,"Chili pepper plants prefer moderate moisture with excellent drainage. Overwatering causes root rot and reduced capsaicin production.","Use short irrigation cycles when rainfall has contributed moisture. Target soil moisture of 30-35%. Mulch to retain moisture in hot weather.",32,31,58,5,vegetable
4,Leafy Greens,"Leafy greens like lettuce and spinach need frequent but light watering. They are shallow-rooted and wilt quickly in dry conditions.","Check the 24-hour average moisture before irrigating. Keep soil moisture above 42%. Provide shade cloth when temperatures exceed 30°C.",44,24,70,6,vegetable
5,Maize,"Maize (corn) can tolerate brief dry periods but sustained water stress during tasseling reduces yield dramatically.","Activate irrigation when threshold gap becomes strongly negative. Critical irrigation period is during silking and grain fill stages.",26,33,48,2,cereal
6,Sugarcane,"Sugarcane is a high-water-demand crop requiring consistent moisture throughout its 12-18 month growth cycle. Drought stress reduces sucrose content.","Irrigate every 7-10 days during dry periods. Soil moisture should not drop below 35%. Reduce irrigation 4-6 weeks before harvest to increase sugar content.",40,32,65,8,cash_crop
7,Tea,"Tea plants require consistent moisture and thrive in cool highland climates. Water stress reduces leaf quality and yield of tender shoots.","Maintain soil moisture between 35-50%. Use sprinkler irrigation during dry spells. Mulch with tea prunings to conserve moisture.",42,22,80,10,plantation
8,Coconut,"Coconut palms are drought-tolerant once established but young palms need regular irrigation. Nut production increases with adequate moisture.","Irrigate young palms during dry season. For mature palms, provide basin irrigation when soil moisture drops below 25%. Drip irrigation is most efficient.",30,29,72,7,plantation
9,Banana,"Banana plants have high water requirements due to large leaf surface area. They are very sensitive to drought during bunch development.","Irrigate twice weekly during dry periods. Maintain soil moisture above 38%. Use mulch to retain moisture. Avoid waterlogging which causes root rot.",42,28,78,9,fruit
10,Onion,"Onion has shallow roots and requires frequent light irrigation. Overwatering during bulb maturation causes splitting and storage rot.","Irrigate when top 15cm of soil dries. Keep moisture at 25-30% during bulb formation. Stop irrigation 2 weeks before harvest for better curing.",27,26,55,2,vegetable
11,Potato,"Potato tubers need consistent moisture during tuber initiation and bulking. Water stress causes knobby or cracked tubers.","Irrigate to maintain soil moisture between 30-40%. Avoid wet-dry cycles which cause growth cracks. Hill up soil to protect developing tubers.",35,20,65,5,tuber
12,Carrot,"Carrots need deep consistent moisture for straight root development. Irregular watering causes forking and cracking.","Maintain soil moisture at 30-35% consistently. Use drip irrigation. Avoid surface crusting by light frequent watering during germination.",32,22,60,4,root_vegetable
13,Cabbage,"Cabbage needs steady moisture throughout growth. Water stress during head formation leads to small loose heads and bolting.","Irrigate when soil moisture drops below 35%. Apply 25-30mm per week. Use furrow or drip irrigation to minimize head rot diseases.",38,20,68,5,vegetable
14,Bean,"Green beans and dry beans are moderately drought tolerant but need irrigation during flowering and pod fill for good yields.","Irrigate when soil moisture falls below 25%. Critical period is flowering through pod fill. Avoid overhead irrigation to prevent foliar diseases.",28,25,58,3,legume
15,Groundnut,"Groundnut (peanut) needs well-drained soil with moderate moisture. Critical water periods are flowering and peg penetration.","Irrigate to maintain 25-35% soil moisture. Ensure adequate moisture during pegging stage. Reduce irrigation near harvest for easier lifting.",30,30,55,4,legume
16,Soybean,"Soybean is moderately drought tolerant but yields drop significantly when water stress occurs during pod filling stage.","Irrigate when soil moisture drops below 30%. Critical period is R3-R5 (pod development). Soybeans fix nitrogen so coordinate with fertilizer plan.",32,28,60,3,legume
17,Cucumber,"Cucumber plants have high water needs and shallow roots. Irregular watering causes bitter fruit and poor shape.","Maintain consistent soil moisture above 35%. Use drip irrigation with mulch. Irrigate daily during fruit production in hot weather.",38,27,70,4,vegetable
18,Watermelon,"Watermelon needs deep but infrequent irrigation. Overwatering during ripening dilutes sugar content and causes fruit splitting.","Irrigate deeply when soil moisture drops below 25%. Reduce watering by 50% two weeks before harvest to concentrate sugars.",28,32,50,2,fruit
19,Okra,"Okra is heat-loving and moderately drought tolerant. It performs well in tropical climates with adequate moisture.","Irrigate when soil moisture falls below 30%. Okra tolerates heat well but needs consistent moisture during flowering for continuous pod production.",32,34,55,3,vegetable
20,Eggplant,"Eggplant (brinjal) needs warm conditions and consistent moisture. Water stress causes flower drop and small bitter fruits.","Maintain soil moisture at 30-38%. Use mulch to keep soil temperature stable. Irrigate every 3-4 days during fruiting stage.",35,30,62,4,vegetable
21,Pumpkin,"Pumpkin is a spreading vine crop that needs deep watering. Shallow frequent watering encourages surface roots.","Water deeply once or twice per week. Maintain soil moisture at 28-35%. Reduce irrigation as fruits mature to improve storage quality.",32,28,58,5,vegetable
22,Sweet Potato,"Sweet potato is drought tolerant once established but needs moisture during root initiation. Excess water reduces tuber quality.","Irrigate during first 6 weeks after planting. Maintain soil moisture at 25-30% during root bulking. Avoid waterlogging which causes rot.",28,27,65,4,tuber
23,Cassava,"Cassava is extremely drought tolerant and can survive extended dry periods. However adequate moisture increases root starch content.","Irrigate during establishment phase only in severe drought. Cassava rarely needs supplemental irrigation once established.",20,29,55,3,tuber
24,Mango,"Mango trees need water stress during flowering to promote fruit set. Irrigation during fruit development increases size and quality.","Withhold irrigation 2 months before expected flowering. Resume irrigation after fruit set. Apply 100-150 liters per tree per week during fruit development.",25,32,60,4,fruit
